Country	Moss	Microbiome	Chamber	Week0	Week4	Condition	Growth	Tmax	Tmean	Torigin	MBMoss
Iceland	Fallax	SMH	18.5C	0.03414867	0.10410446	Warm	0.002498421	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.03494072	0.0928924	Warm	0.002069703	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.034414025	0.13800404	Warm	0.003699643	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.03375666	0.18764616	Warm	0.005496054	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.035008245	0.08721174	Warm	0.001864411	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.033415385	0.11625598	Warm	0.002958593	18.5	15	27	SM
Iceland	Fallax	SMH	18.5C	0.034377525	0.09727362	Warm	0.002246289	18.5	15	27	SM
Iceland	Fallax	SMC	18.5C	0.0338655	0.17163144	Ambient	0.004920212	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.01480345	0.11565016	Ambient	0.003601668	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.02328855	0.15230666	Ambient	0.00460779	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.00989215	0.07068778	Ambient	0.002171273	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.0366796	0.13789868	Ambient	0.003614967	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.01798135	0.13772308	Ambient	0.00427649	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.0197522	0.1557133	Ambient	0.004855754	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.0250594	0.14042732	Ambient	0.004120283	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.02659485	0.13377208	Ambient	0.003827758	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.0159109	0.13004936	Ambient	0.004076374	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.00693895	0.12773144	Ambient	0.004314018	18.5	15	12	SM
Iceland	Fallax	SMC	18.5C	0.0394509	0.21099218	Ambient	0.006126474	18.5	15	12	SM
Iceland	Fallax	STH	18.5C	0.08273688	0.13066	Warm	0.00171154	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.07489224	0.18723552	Warm	0.00401226	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.12734796	0.20829312	Warm	0.002890899	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.05513196	0.15534408	Warm	0.003579004	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.06801048	0.17940288	Warm	0.0039783	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.09451092	0.20953296	Warm	0.00410793	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.07960044	0.15770568	Warm	0.002789473	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.05050164	0.11996928	Warm	0.002480987	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.08363604	0.14970576	Warm	0.002359633	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.11072412	0.23307024	Warm	0.004369504	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.05559216	0.15539328	Warm	0.003564326	18.5	15	27	ST
Iceland	Fallax	STH	18.5C	0.05125731	0.12013656	Warm	0.002459973	18.5	15	27	ST
Iceland	Fallax	STC	18.5C	0.05577241	0.15152472	Ambient	0.003419725	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.06617717	0.08859552	Ambient	0.000800655	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.07420872	0.1497202	Ambient	0.002696839	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.09908715	0.14519516	Ambient	0.001646715	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.06073923	0.14116476	Ambient	0.00287234	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.10607133	0.0995692	Ambient	-0.000232219	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.05940891	0.09316636	Ambient	0.001205623	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.05875821	0.08223848	Ambient	0.000838581	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.08207496	0.13933276	Ambient	0.002044921	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.11005506	0.17837268	Ambient	0.002439915	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.05679165	0.0655398	Ambient	0.000312434	18.5	15	12	ST
Iceland	Fallax	STC	18.5C	0.05121009	0.08368576	Ambient	0.001159845	18.5	15	12	ST
Iceland	Fallax	None	25C	0.11753504	0.17245328	Control	0.001961366	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.11753504	0.08093833	Control	-0.001307025	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.05652314	0.15026518	Control	0.00334793	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.1013418	0.08722642	Control	-0.000504121	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.02817348	0.09113784	Control	0.002248727	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.09722072	0.12659495	Control	0.00104908	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.09503762	0.07730755	Control	-0.000633217	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.05699806	0.0672659	Control	0.000366709	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.03828468	0.13011172	Control	0.003279537	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.13691484	0.09507557	Control	-0.00149426	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.0569904	0.11731629	Control	0.002154496	25	21.5	0	NONE
Iceland	Fallax	None	25C	0.0703571	0.16404285	Control	0.00334592	25	21.5	0	NONE
Iceland	Fallax	SMH	25C	0.0432446	0.12332388	Warm	0.002859974	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.0842064	0.14972534	Warm	0.002339962	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.12487224	0.13698556	Warm	0.000432619	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.05998752	0.11939044	Warm	0.002121533	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.0790866	0.18773396	Warm	0.003880263	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.07828524	0.16546788	Warm	0.003113666	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.12284976	0.16977886	Warm	0.001676039	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.14488104	0.17436202	Warm	0.001052892	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.18787626	0.1896919	Warm	6.48443E-05	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.06203142	0.11937288	Warm	0.002047909	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.07512021	0.1744586	Warm	0.0035478	25	21.5	27	SM
Iceland	Fallax	SMH	25C	0.19849698	0.314324	Warm	0.004136679	25	21.5	27	SM
Iceland	Fallax	SMC	25C	0.049985	0.07224875	Ambient	0.000795134	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.09451779	0.22148784	Ambient	0.004534645	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.04524796	0.10697904	Ambient	0.002204681	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.10195402	0.15884064	Ambient	0.002031665	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.10929028	0.21932064	Ambient	0.003929656	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.0533686	0.16291296	Ambient	0.003912299	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.07108636	0.16109856	Ambient	0.003214721	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.04478656	0.1611792	Ambient	0.00415688	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.10040833	0.2425752	Ambient	0.005077388	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.04436361	0.19243728	Ambient	0.005288345	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.0594437	0.13218912	Ambient	0.002598051	25	21.5	12	SM
Iceland	Fallax	SMC	25C	0.14160366	0.30539376	Ambient	0.005849646	25	21.5	12	SM
Iceland	Fallax	STH	25C	0.05711296	0.20733552	Warm	0.005365091	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.06986686	0.18638928	Warm	0.004161515	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.07655404	0.14748048	Warm	0.002533087	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.07709024	0.14481936	Warm	0.002418897	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.09178978	0.185472	Warm	0.003345794	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.06473466	0.17031168	Warm	0.003770608	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.0581394	0.15746976	Warm	0.003547513	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.09076334	0.13959792	Warm	0.001744092	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.1042909	0.26971056	Warm	0.005907845	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.09018884	0.199584	Warm	0.00390697	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.04893208	0.16761024	Warm	0.004238506	25	21.5	27	ST
Iceland	Fallax	STH	25C	0.05627036	0.13252176	Warm	0.002723264	25	21.5	27	ST
Iceland	Fallax	STC	25C	0.1198476	0.2040472	Ambient	0.003007129	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.1107645	0.17983196	Ambient	0.002466695	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.06298164	0.06443642	Ambient	5.19564E-05	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.09960996	0.13325406	Ambient	0.001201575	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.1832238	0.27465596	Ambient	0.003265434	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.14126892	0.20994736	Ambient	0.002452801	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.05887986	0.0799858	Ambient	0.000753784	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.12468096	0.21281842	Ambient	0.003147766	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.1498095	0.1412263	Ambient	-0.000306543	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.09471906	0.17471322	Ambient	0.002856934	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.15853092	0.35633422	Ambient	0.007064404	25	21.5	12	ST
Iceland	Fallax	STC	25C	0.10832316	0.30380477	Ambient	0.006981486	25	21.5	12	ST
Iceland	Fallax	None	30C	0.06253332	0.08232909	Control	0.000706992	30	26.5	0	NONE
Iceland	Fallax	None	30C	0.06495224	0.01995119	Control	-0.00160718	30	26.5	0	NONE
Iceland	Fallax	None	30C	0.05922768	0.1029913	Control	0.001562986	30	26.5	0	NONE
Iceland	Fallax	None	30C	0.07342824	0.0813754	Control	0.000283827	30	26.5	0	NONE
Iceland	Fallax	None	30C	0.10017328	0.09595121	Control	-0.000150788	30	26.5	0	NONE
Iceland	Fallax	None	30C	0.02090964	0.040259008	Control	0.000691049	30	26.5	0	NONE
Iceland	Fallax	None	30C	0.11413912	0.15071616	Control	0.001306323	30	26.5	0	NONE
